id,name,partyLabel,constituencyLabel,homepage
jose.ndambuca,JOSÉ MIÚDO NDAMBUCA,MPLA,Círculo Eleitoral Provincial da Huíla,http://www.parlamento.ao/web/jose.ndambuca
jose.ferraz.santos,JOSÉ MARIA FERRAZ DOS SANTOS,MPLA,Circulo Eleitoral do Cuanza Norte.,http://www.parlamento.ao/web/jose.ferraz.santos
jose.andre,JOSÉ JOANA ANDRÉ,MPLA,Círculo Eleitoral Provincial do Zaíre,http://www.parlamento.ao/web/jose.andre
jose.cipriano,JOSÉ MOISÉS CIPRIANO,MPLA,Circulo Eleitoral Provincial da Lunda Norte,http://www.parlamento.ao/web/jose.cipriano
joao.martins,JOÃO DE ALMEIDA AZEVEDO MARTINS,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joao.martins
joao.viemba,JOÃO VICENTE VIEMBA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joao.viemba
joao.quitas,JOÃO GARCIA QUITAS,UNITA,Círculo Eleitoral Provincial do Zaire,http://www.parlamento.ao/web/joao.quitas
joao.ungaji,JOÃO SEGUNDA UNGAJI,MPLA,Circulo Eleitoral Provincial da Lunda Sul,http://www.parlamento.ao/web/joao.ungaji
joao.muhembo,JOÃO ANTÓNIO LINEHA MUHEMBO,MPLA,Círculo Eleitoral Provincial do Cuando Cubango,http://www.parlamento.ao/web/joao.muhembo
joao.caweza,JOÃO MUZAZA CAWEZA,UNITA,Círculo Eleitoral Provincial do Moxico,http://www.parlamento.ao/web/joao.caweza
joao.francisco,JOÃO MANUEL FRANCISCO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joao.francisco
joao.freitas,JOÃO JOSÉ GUERRA DE FREITAS,MPLA,Circulo Eleitoral Provincial do Namibe,http://www.parlamento.ao/web/joao.freitas
joao.neto,"JOÃO LUÍS NETO ""XIETU""",MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/joao.neto
joao.tyipinge,JOÃO MARCELINO TYIPINGE,MPLA,Província da Huíla,http://www.parlamento.ao/web/joao.tyipinge
joao.gaspar,JOÃO DIOGO GASPAR,MPLA,Círculo Eleitoral Provincial-Malanje,http://www.parlamento.ao/web/joao.gaspar
joao.kussumua,JOÃO BAPTISTA KUSSUMUA,MPLA,Circulo Eleitoral Provincia do Huambo,http://www.parlamento.ao/web/joao.kussumua
joao.mucanda,JOÃO FERNANDO MUCANDA,MPLA,Circulo Eleitoral Provincial do Cuando Cubango,http://www.parlamento.ao/web/joao.mucanda
juliao.paulo,JULIÃO MATEUS PAULO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/juliao.paulo
justino.andrade,JUSTINO FELTRO DA COSTA PINTO DE ANDRADE,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/justino.andrade
julia.celeste,JÚLIA AGOSTINHA CELESTE,MPLA,Círculo Eleitoral Provincial da Huíla,http://www.parlamento.ao/web/julia.celeste
kilamba.van-dunem,KILAMBA KIUYIMA VAN-DÚNEM,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/kilamba.van-dunem
leonel.gomes,LEONEL JOSÉ GOMES,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/leonel.gomes
liberty.chiaka,LIBERTY MARLIN DIRCÉU SAMUEL CHIAKA,UNITA,Circulo Eleitoral Provincial do Huambo,http://www.parlamento.ao/web/liberty.chiaka
lindo.tito,LINDO BERNARDO TITO,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/lindo.tito
lourenco.lumingo,LOURENÇO ALBERTO CHUNGO LUMINGO,CASA-CE,Círculo Eleitoral Provincial de Cabinda,http://www.parlamento.ao/web/lourenco.lumingo
lucas.gonda,LUCAS BENGHIM GONDA,FNLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/lucas.gonda
luciana.rafael,LUCIANA RAFAEL,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/luciana.rafael
lukamba.paulo,"LUKAMBA PAULO ""GATO""",UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/lukamba.paulo
luzia.van-dunem,LUZIA PEREIRA DE SOUSA INGLÊS VAN-DÚNEM,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/luzia.van-dunem
luis.rasgado,LUÍS DE OLIVEIRA RASGADO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/luis.rasgado
lu.domingos,LUÍS DOMINGOS,MPLA,Círculo Eleitoral Provincial da Lunda Sul,http://www.parlamento.ao/web/lu.domingos
luisa.damiao,LUÍSA PEDRO FRANCISCO DAMIÃO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/luisa.damiao
madalena.hanosike,MADALENA NDAFOLUMA HANOSIKE,MPLA,Círculo Eleitoral Provincial do Cunene,http://www.parlamento.ao/web/madalena.hanosike
manuel.domingos,MANUEL ANTÓNIO GASPAR DOMINGOS,MPLA,Círculo Eleitoral Provincial do Cuanza Norte,http://www.parlamento.ao/web/manuel.domingos
manuel.ekuikui,MANUEL ARMANDO DA COSTA EKUIKUI,UNITA,Círculo Eleitoral Provincial de Luanda,http://www.parlamento.ao/web/manuel.ekuikui
manuel.neto,MANUEL DA CRUZ NETO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/manuel.neto
deputadomanuel.mendes,MANUEL DAVID MENDES,UNITA,Círculo Eleitortal Nacional,http://www.parlamento.ao/web/deputadomanuel.mendes
